Subject_all,MeanMVC_all,StrideTime_all,WalkingAmp_all,NumberofBursts_all
S0001,0.000304119644917851,1.15941572189331,4.0116559197656e-05,3
S0003,0.000156638538416404,1.23880982398987,1.1576827437588e-05,2
S0005,0.000106165974112746,1.0072910785675,2.27222194450362e-05,5
S0010,0.000314485852385495,1.16171312332153,2.67288130436502e-05,3
S0014,0.000264720071653243,1.34551739692688,0.000258961909588688,4
S0015,0.000189341019063192,1.04503631591797,2.98644609006812e-05,4
S0016,0.000127347580238559,0.901700258255005,2.25981308486372e-05,6
S0017,0.000459692312173614,1.16977047920227,2.66055466195099e-05,3
S0021,0.000146993414651603,1.07203841209412,2.36605688311762e-05,4
S0023,0.000370897939626867,1.14106678962708,3.59017527420574e-05,2
S0025,0.00030193168581033,1.02348303794861,1.80937235007949e-05,6
S0026,0.000168194355993818,1.1277163028717,3.7753570357847e-05,3
S0029,0.000395766715665846,1.08758044242859,0.000232021822481939,1
S0030,0.000144741320384271,1.0643150806427,2.97623376566737e-05,5
S0031,0.000136923832263443,1.13222908973694,1.36288310868558e-05,4
S0032,0.000122077698176673,1.05844736099243,2.23998844165711e-05,4
S0033,0.000165779865357586,1.18610239028931,2.11885926384952e-05,1
S0034,0.000207032000993196,1.15287923812866,1.972173752855e-05,5
S0035,0.000135307259421653,1.08780407905579,3.11436485583243e-05,2
S0036,0.00013276102749397,1.07876563072205,3.77637494271074e-05,1
S0037,0.000171430030972414,1.27027368545532,1.28312726773631e-05,9
